,State,Year,Quater,District,Registered_user,App_opening,id
246,Andhra Pradesh,2021,Q3,Anantapur District,1606735,124985545,28
247,Andhra Pradesh,2021,Q3,Kurnool District,1522196,101210508,28
248,Andhra Pradesh,2021,Q3,Guntur District,2110878,106621413,28
249,Andhra Pradesh,2021,Q3,Krishna District,2145423,104358295,28
250,Andhra Pradesh,2021,Q3,Spsr Nellore District,1263550,90102349,28
251,Andhra Pradesh,2021,Q3,Vizianagaram District,784444,46277311,28
252,Andhra Pradesh,2021,Q3,Ysr District,1183377,86369956,28
253,Andhra Pradesh,2021,Q3,West Godavari District,1436576,80244808,28
254,Andhra Pradesh,2021,Q3,Chittoor District,2007011,135043395,28
255,Andhra Pradesh,2021,Q4,East Godavari District,2294347,142536856,28
256,Andhra Pradesh,2021,Q4,Srikakulam District,965335,61654215,28
257,Andhra Pradesh,2021,Q4,Visakhapatnam District,2888774,188757640,28
258,Andhra Pradesh,2021,Q4,Prakasam District,1325728,86410317,28
259,Andhra Pradesh,2021,Q4,Anantapur District,1719437,120768682,28
260,Andhra Pradesh,2021,Q4,Kurnool District,1628242,97379271,28
261,Andhra Pradesh,2021,Q4,Guntur District,2252443,130920743,28
262,Andhra Pradesh,2021,Q4,Krishna District,2288148,134436469,28
263,Andhra Pradesh,2021,Q4,Spsr Nellore District,1349290,90814672,28
264,Andhra Pradesh,2021,Q4,Vizianagaram District,839606,56101822,28
265,Andhra Pradesh,2021,Q4,Ysr District,1262963,83534122,28
266,Andhra Pradesh,2021,Q4,West Godavari District,1532898,100007280,28
267,Andhra Pradesh,2021,Q4,Chittoor District,2141818,154395512,28
268,Andhra Pradesh,2022,Q1,East Godavari District,2432305,87134562,28
269,Andhra Pradesh,2022,Q1,Srikakulam District,1027283,46691467,28
270,Andhra Pradesh,2022,Q1,Visakhapatnam District,3061324,88803090,28
271,Andhra Pradesh,2022,Q1,Prakasam District,1408929,104851997,28
272,Andhra Pradesh,2022,Q1,Anantapur District,1827094,155792533,28
273,Andhra Pradesh,2022,Q1,Kurnool District,1729513,119653214,28
274,Andhra Pradesh,2022,Q1,Guntur District,2387051,88844052,28
275,Andhra Pradesh,2022,Q1,Krishna District,2423373,85871644,28
276,Andhra Pradesh,2022,Q1,Spsr Nellore District,1431664,101671767,28
277,Andhra Pradesh,2022,Q1,Vizianagaram District,892889,44804002,28
278,Andhra Pradesh,2022,Q1,Ysr District,1339782,98878499,28
279,Andhra Pradesh,2022,Q1,West Godavari District,1626039,87642475,28
280,Andhra Pradesh,2022,Q1,Chittoor District,2270705,144146671,28
281,Andhra Pradesh,2022,Q2,East Godavari District,2564165,93383888,28
282,Andhra Pradesh,2022,Q2,Srikakulam District,1086164,51087942,28
283,Andhra Pradesh,2022,Q2,Visakhapatnam District,3226029,93552701,28
284,Andhra Pradesh,2022,Q2,Prakasam District,1487589,108172758,28
285,Andhra Pradesh,2022,Q2,Anantapur District,1928213,181499094,28
286,Andhra Pradesh,2022,Q2,Kurnool District,1825280,136447455,28
287,Andhra Pradesh,2022,Q2,Guntur District,2514794,91997209,28
288,Andhra Pradesh,2022,Q2,Krishna District,2552107,95341487,28
289,Andhra Pradesh,2022,Q2,Spsr Nellore District,1509927,108755384,28
290,Andhra Pradesh,2022,Q2,Vizianagaram District,943242,50230853,28
291,Andhra Pradesh,2022,Q2,Ysr District,1412848,106157470,28
292,Andhra Pradesh,2022,Q2,West Godavari District,1714357,103338893,28
293,Andhra Pradesh,2022,Q2,Chittoor District,2392549,158771722,28
294,Andhra Pradesh,2022,Q3,East Godavari District,2702234,85780890,28
295,Andhra Pradesh,2022,Q3,Srikakulam District,1147016,46323107,28
296,Andhra Pradesh,2022,Q3,Visakhapatnam District,3397514,87888969,28
297,Andhra Pradesh,2022,Q3,Prakasam District,1567520,114185009,28
298,Andhra Pradesh,2022,Q3,Anantapur District,2030824,181038520,28
299,Andhra Pradesh,2022,Q3,Kurnool District,1924127,143715547,28
300,Andhra Pradesh,2022,Q3,Guntur District,2647100,91146114,28
301,Andhra Pradesh,2022,Q3,Krishna District,2685215,86220959,28
302,Andhra Pradesh,2022,Q3,Spsr Nellore District,1588875,105928407,28
303,Andhra Pradesh,2022,Q3,Vizianagaram District,995141,46767889,28
304,Andhra Pradesh,2022,Q3,Ysr District,1487140,107976611,28
305,Andhra Pradesh,2022,Q3,West Godavari District,1805967,97509407,28
306,Andhra Pradesh,2022,Q3,Chittoor District,2517657,162524274,28
307,Andhra Pradesh,2022,Q4,East Godavari District,2835087,173720880,28
308,Andhra Pradesh,2022,Q4,Srikakulam District,1204785,72666058,28
309,Andhra Pradesh,2022,Q4,Visakhapatnam District,3566854,208604256,28
310,Andhra Pradesh,2022,Q4,Prakasam District,1642503,94432083,28
311,Andhra Pradesh,2022,Q4,Anantapur District,2128066,136685634,28
312,Andhra Pradesh,2022,Q4,Kurnool District,2018290,105333688,28
313,Andhra Pradesh,2022,Q4,Guntur District,2774365,144773169,28
314,Andhra Pradesh,2022,Q4,Krishna District,2813645,156902257,28
315,Andhra Pradesh,2022,Q4,Spsr Nellore District,1663684,103101986,28
316,Andhra Pradesh,2022,Q4,Vizianagaram District,1044490,64406405,28
317,Andhra Pradesh,2022,Q4,Ysr District,1556901,93975668,28
318,Andhra Pradesh,2022,Q4,West Godavari District,1893310,129116752,28
319,Andhra Pradesh,2022,Q4,Chittoor District,2636036,189655966,28
320,Arunanchal Pradesh,2018,Q1,Lower Subansiri District,498,0,12
321,Arunanchal Pradesh,2018,Q1,Tirap District,557,0,12
322,Arunanchal Pradesh,2018,Q1,Papum Pare District,7649,0,12
323,Arunanchal Pradesh,2018,Q1,Anjaw District,278,0,12
324,Arunanchal Pradesh,2018,Q1,Lower Siang District,270,0,12
325,Arunanchal Pradesh,2018,Q1,Dibang Valley District,66,0,12
326,Arunanchal Pradesh,2018,Q1,West Kameng District,2202,0,12
327,Arunanchal Pradesh,2018,Q1,Shi Yomi District,49,0,12
328,Arunanchal Pradesh,2018,Q1,East Kameng District,222,0,12
329,Arunanchal Pradesh,2018,Q1,Lohit District,1207,0,12
330,Arunanchal Pradesh,2018,Q1,Lepa Rada District,210,0,12
331,Arunanchal Pradesh,2018,Q1,Lower Dibang Valley District,601,0,12
332,Arunanchal Pradesh,2018,Q1,Longding District,256,0,12
333,Arunanchal Pradesh,2018,Q1,West Siang District,846,0,12
334,Arunanchal Pradesh,2018,Q1,Kamle District,22,0,12
335,Arunanchal Pradesh,2018,Q1,Upper Siang District,301,0,12
336,Arunanchal Pradesh,2018,Q1,Kurung Kumey District,97,0,12
337,Arunanchal Pradesh,2018,Q1,Siang District,192,0,12
338,Arunanchal Pradesh,2018,Q1,Kra Daadi District,88,0,12
339,Arunanchal Pradesh,2018,Q1,Changlang District,1208,0,12
340,Arunanchal Pradesh,2018,Q1,Pakke Kessang District,39,0,12
341,Arunanchal Pradesh,2018,Q1,East Siang District,1803,0,12
